Company Brand,HeadQuarter,Sector,What it does,Amount($),Stage,Year Funded,Sector_New
Airmeet,Bangalore,tech startup,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge",12000000.0,Series A,2020,Technology
Observe ai,San Francisco,tech,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.",54000000.0,Series B,2020,Technology
InCred,Mumbai,finance,"Provide loans for all your needs like personal loan for wedding, education loan, business loan",5000000.0,Debt,2020,Finance
Toppr,Mumbai,edtech,Toppr is an Indian educational technology and online tutoring firm,35000000.0,Series D,2020,Education
CarTrade,Mumbai,car trade,Buy and Sell Used Cars,42500000.0,Series H,2020,Transport
LEAD School,Mumbai,edttech,Offers a high-end digital classroom system focused on enhancing the learning experience,28000000.0,Series C,2020,Education
Servify,Mumbai,manufacturing,"Enables top OEMs & ODMs in device distribution, sales, warranty",11370000.0,Series C,2020,Manufacturing
Lido Learning,Mumbai,edtech,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?",7500000.0,Series B,2020,Education
Apna.co,Bangalore,job portal,Can find all types of jobs from entry level to experienced people in over 60+ categories.,8000000.0,Series A,2020,Technology
Quintype Technologies,Bangalore,tech,"Building a suite of digital publishing solutions to simplify content creation, distribution",325000.0,Series A,2020,Technology
Dunzo,Bangalore,tech,Order online and get free delivery from your nearby restaurants,28000000.0,Series E,2020,Technology
Entropik,Bangalore,ai platform,Gain insights into human emotions with AI-powered platform affect lab.,8000000.0,Series A,2020,Technology
Livspace,Bangalore,home design,Interior design marketplace that connects interior designers,9000000.0,Series D,2020,Lifestyle
Ultraviolette Automotive,Bangalore,automation,Industries Automotive Electric Vehicle Energy Energy Storage,410000.0,Series B,2020,Manufacturing
WinZO,New Delhi,gaming,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,18000000.0,Series B,2020,Sports
SenseHawk,Bangalore,solar saas,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,5000000.0,Series A,2020,Technology
Railofy,Mumbai,wl & rac protection,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,900000.0,Seed,2020,Automobile
Eloelo,Bangalore,social commerce,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.",450000.0,Seed,2020,Commerce
Aibono,Bangalore,agritech,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,2000000.0,Series A,2020,Technology
BuildPan,Indore,saas startup,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.",500000.0,Seed,2020,Technology
Homelane,Bangalore,home interior services,Explore 1000's of fully customizable home interior designs.,8000000.0,Seed,2020,Real Estate
MyGlamm,Mumbai,fashion,Buy Makeup kit & Cosmetics Products from international makeup brand,1000000.0,Series B,2020,Beauty & Fashion
Aviom,New Delhi,finance,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,682000.0,Debt,2020,Finance
Flinto,Chennai,edtech startup,Flintobox is an India-based company that produces educational activity boxes for children,7000000.0,Series B,2020,Education
WayCool,Chennai,agritech startup,WayCool is a social enterprise positively impacting the lives of India's farmers,5060000.0,Series C,2020,Technology
YAP,Chennai,api platform,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,4050000.0,Series A,2020,Technology
Big Bang Boom Solutions,Chennai,deep tech,It aims to co-create intellectual property that can reside within the borders of the country.,1050000.0,Series A,2020,Technology
GUVI,Chennai,edtech startup,Operates vernacular-language based education tech startup,800000.0,Series A,2020,Education
BluSmart,Gurugram,electricity,"BluSmart, an all-electric ride-hailing platform",7000000.0,Series A,2020,Energy
Cell Propulsion,Bangalore,automotive company,Designs and develops electric power drives and autonomous electric mobility solutions,1512135.0,Series A,2020,Manufacturing
MPL,Bangalore,entertainment,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,50000000.0,Series B,2020,Media and Entertainment
Spoonshot,Bangalore,fmcg,A food science company using AI to predict consumer taste and food trends,1000000.0,Seed,2020,Food & Beverages
Pulse,Mumbai,fintech,Helps people navigate through and profit off financial markets,750000.0,Series A,2020,Finance
Groww,Bangalore,fintech,Leading Investment and Trading Platform,30000000.0,Series C,2020,Finance
i3 Systems,Mumbai,insurance tech,Transforming India's health insurance industry with its digital solutions and AI products for automation,1050000.0,Series A,2020,Finance
SOAL,Mumbai,edtech,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders",1000000.0,Seed,2020,Education
OckyPocky,Gurugram,edtech,Ockypocky helps kids in learning spoken english,400000.0,Seed,2020,Education
Hippo Video,New York,video personalization,Helps enterprise businesses achieve their marketing and sales goals through seamless video,4000000.0,Series A,2020,Media and Entertainment
Hasura,San Francisco,software company,"Builds developer tooling products, including open source tools, backend",25000000.0,Series B,2020,Technology
Qapita,Singapore,fintech,Qapita provides digital equity management tools for private companies and startups.,1080000.0,Seed,2020,Finance
Sunday,Bangkok,fintech,An end-to-end insurance products and services provider that uses AI to offer personalized packages.,9000000.0,Series B,2020,Finance
Gamezop,Gurugram,gaming,A multi-game platform,4300000.0,Series A,2020,Sports
Phool.co,Kanpur,biomaterial startup,They use flowers from temples across India's and create useful products such as rose incense cone,1400000.0,Series A,2020,Lifestyle
Chiratae Ventures,Bangalore,venture capital,A leading tech venture capital fund focused on enabling entrepreneurs in India.,1512135.0,Seed,2020,Finance
MedLife,Bangalore,health,"An India online platform, which provides pharmacy, diagnostics, and e-consultation in India.",6800000.0,Seed,2020,Health
IDfy,Mumbai,tech,IDfy provides risk and fraud solutions,2110000.0,Series A,2020,Technology
True Balance,Gurugram,finance,Earn money by meeting financial needs of your friends and neighbors.,1512135.0,Series C,2020,Finance
Bira91,New Delhi,craft beer,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,764000.0,Seed,2020,Food & Beverages
Max wholesale,New Delhi,e-commerce,MaxWholesale is an online distributor that provides authentic FMCG goods,603000.0,Seed,2020,Commerce
Craftsvilla,Mumbai,e-commerce,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories",409000.0,Seed,2020,Commerce
MechMocha,Bangalore,entertainment,India's first vernacular social gaming platform,292000.0,Series A,2020,Media and Entertainment
Mindhouse,Gurugram,healthtech,A gym to train your mind offering workouts and programmes,286000.0,Seed,2020,Health
DeepSync,Chandigarh,ai startup,"A revolutionary way to record your content, without you really speaking",136000.0,Seed,2020,Technology
Eruditus,Mumbai,education,Bring world-class business and professional education to a global audience,1512135.0,Seed,2020,Education
Gradeup,Noida,education,"India's largest exam preparation destination,",546000.0,Seed,2020,Education
Tracxn,Bangalore,investment,Tracxn is the research partner for Venture Capitalist,887000.0,Series B,2020,Finance
Purple Style Labs,Mumbai,fashion,Shopping experience and foster the growth of Indian brands and designers.,43000.0,Seed,2020,Beauty & Fashion
ProPhysio,Bangalore,health,The largest provider of physiotherapy and rehabilitation services,40900.0,Seed,2020,Health
Flickstree,Mumbai,tech,World's largest video publisher,40900.0,Seed,2020,Technology
Settl,Gurugram,traveltech,Get affordable AC bus-rides everyday,1512135.0,Seed,2020,Technology
Fanspole,Thane,entertainment,India's only social fantasy gaming platform,1512135.0,Seed,2020,Media and Entertainment
Sarva,Mumbai,healthcare,A wellness ecosystem built on the authentic foundations of Yoga,1512135.0,Seed,2020,Health
Univ.ai,Bangalore,edtech,"A distributed, global educational powerhouse that draws on technology",1512135.0,Seed,2020,Education
PurohitJi,Bangalore,linguistic spiritual,App for Hindu Puja Products & Services,1512135.0,Seed,2020,Education
CredoLab,Singapore,tech,AI credit scoring platform,7000000.0,Series A,2020,Technology
Brick&Bolt,Bangalore,construction,"A construction company doing house construction, building construction, commercial construction",2200000.0,Series A,2020,Manufacturing
Grinntech,Chennai,battery manufacturer,Leading on all fronts of battery design,2000000.0,Seed,2020,Manufacturing
6Degree,Mumbai,fashion,India's leading fashion business platform,340000.0,Seed,2020,Beauty & Fashion
Exprs,Not Specified,nano distribution network,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.",5660000.0,Seed,2020,Technology
Bikayi,Hyderabad,e-commerce,Provides free whatsapp integrated E-Commerce Store,2000000.0,Seed,2020,Commerce
Virtual Forest,Bangalore,tech,Tracking seasonal change in virtual forest,1512135.0,Seed,2020,Technology
The Health company,Gurugram,ai health,Organic superfoods & free personal health coaching that actually work.,350000.0,Seed,2020,Health
TrulyMadly Matchmakers,Gurugram,dating app,One of the best dating Apps in India connecting singles across the country.,110000.0,Series A,2020,Technology
TrueFan,Mumbai,media,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,4300000.0,Seed,2020,Media and Entertainment
Fanspole,Mumbai,gaming,A free app that users can use to create contests and play,1512135.0,Seed,2020,Sports
Byju's,Bangalore,edtech,Provides online learning classes,122000000.0,Seed,2020,Education
Avail Finance,Bangalore,fintech,Instant online loan app,11635000.0,Series B,2020,Finance
The Money Club,Delhi,ai,AI based chit fund cashier app,1512135.0,Seed,2020,Technology
Virohan,Gurgaon,healthcare/edtech,Healthcare training company,2800000.0,Seed,2020,Health
OneCode,Gurugram,social commerce,Connects new-age digital first brands with relevant sellers,1512135.0,Seed,2020,Commerce
Verloop.io,Not Specified,ai,Helps automate customer service using Artificial Intelligence,5000000.0,Seed,2020,Technology
Otipy,Not Specified,agritech/commerce,Connects consumers with farmers thorugh women resellers,1000000.0,Seed,2020,Commerce
Evage,Chandigarh,mobility tech,Develop emissions-free electric commercial vehicles,1512135.0,Seed,2020,Technology
LEAD School,Mumbai,edtech,Offers an integrated system for schools by helping them digitize the entire curriculum,28000000.0,Series C,2020,Education
Trell,Bangalore,social e-commerce,Allows users to share their travel experiences,11000000.0,Series A,2020,Commerce
Captain Fresh,Bangalore,food & logistics,Sea food Supply chain,2300000.0,Seed,2020,Food & Beverages
Teachmint,Bangalore,edtech,Empowers tutors with tools to deliver effective learning outcomes for students and parents,1512135.0,Seed,2020,Education
Pixxel,Bangalore,spacetech,Indian Earth observation startup,5000000.0,Seed,2020,Technology
Habbit Health,Delhi,nutrition tech,Applies modern science for healthier life through proprietary foods & digital ecosystem,1512135.0,Seed,2020,Food & Beverages
SmarterBiz,Bangalore,tech,An end-to-end CX platform enabled with the gig workforce,1065000.0,Seed,2020,Technology
Able Jobs,Bangalore,hr,Provides end to end hiring support to companies,2000000.0,Seed,2020,Business Intelligence
Vieroots,Kochi,healthtech,Personalised lifestyle management using epigenetic science,1512135.0,Seed,2020,Health
Stack Finance,Bangalore,fintech,"It automates invesments, expenses, borrowing under a single platform",1512135.0,Seed,2020,Finance
FPL Technologies,Pune,fintech,OneScore app is built by FPL - Free credit scoring and monitoring,10000000.0,Series A,2020,Finance
Masai School,Bangalore,edtech,It trains tech aspirants in full stack wed and android development,2500000.0,Series A,2020,Education
Mitron,Bangalore,media,Short Video and Social Platform,5000000.0,Series A,2020,Media and Entertainment
Daalchini,Not Specified,iot,Physical and Digital vending machines startup,669000.0,Seed,2020,Technology
Suno India,Not Specified,media,Multilingual podcast platform,1512135.0,Seed,2020,Media and Entertainment
LendingKart,Ahmedabad,fintech,Provides working capital loans and business loans to MSMEs,16076000.0,Series D,2020,Finance
Text Mercato,Bangalore,fintech,Cataloguing startup that serves ecommerce platforms,649600.0,Series A,2020,Finance
Eden Smart Homes,Not Specified,iot,Develops smart home automation systems,1512135.0,Seed,2020,Technology
GrayQuest,Mumbai,edtech,Enables parents to pay their annual education fees in up to 12 monthly installments,1000000.0,Seed,2020,Education
BigHaat,Bangalore,agritech,Agri-inputs ecommerce player,2000000.0,Seed,2020,Technology
CityCash,Mumbai,fintech,Focusses on creating a transit led micro-payments ecosystem,1000000.0,Seed,2020,Finance
HomeLane,Chennai,interior design,Provides interior designing solutions,1000000.0,Series D,2020,Lifestyle
HungerBox,Bangalore,foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",6700000.0,Series C,2020,Food & Beverages
DaveAI,Bangalore,ai,Sales augmentation platform with a vision to democratise AI for enterprises,1512135.0,Seed,2020,Technology
Eduvanz,Mumbai,fintech,Digital finance NBFC that provides affordable education loans,5000000.0,Series A,2020,Finance
ZipLoan,Delhi,fintech,Provides loans to MSMEs,2000000.0,Seed,2020,Finance
DocSumo,Mumbai,ai,Platform helps to automate and analyse financial data,220000.0,Seed,2020,Technology
CUSMAT,Warangal,ar/vr,It builds high immersion training systems for enterprises,1512135.0,Seed,2020,Technology
Chingari,Bangalore,media,Short video platform,1300000.0,Seed,2020,Media and Entertainment
Bolo Indya,Gurugram,media,User-generated content platform,300000.0,Series A,2020,Media and Entertainment
Data Sutram,Kolkata,ai,Platform gathers intel from external data to provide location-based data intelligence.,266500.0,Seed,2020,Technology
Wobot Intelligence,Delhi,ai,AI backed video analytics platform,2500000.0,Seed,2020,Technology
DrinkPrime,Bangalore,appliance,Subscription-based Water purifier startup,2879000.0,Seed,2020,Commerce
Infeedo,Gurugram,hr tech,An employee engagement HR analytics platform,700000.0,Seed,2020,Technology
Probus Smart Things,Delhi,iot,Platform for monitoring distribution sub-station performance and operations,1512135.0,Seed,2020,Technology
CrowdPouch,Bangalore,tech,A reward-based fundraising and preselling platform,1512135.0,Seed,2020,Technology
Rebel Foods,Mumbai,food tech,Cloud kitchen platform,26500000.0,Series E2,2020,Food & Beverages
Hevo,Bangalore,tech,Data pipeline startup,8000000.0,Series A,2020,Technology
BigSpoon Foods,Ahmedabad,foodtech,Cloud kitchen startup,2000000.0,Seed,2020,Food & Beverages
Chingari,Bangalore,media,Homegrown short video platform,1000000.0,Seed,2020,Media and Entertainment
ShareChat,Bangalore,media,Indian social network platform,351000.0,Seed,2020,Media and Entertainment
DatStop,Delhi,hospitality,It offers urban social space,1512135.0,Seed,2020,Lifestyle
IPHM Services,Mumbai,mental health,It helps design programs and workshops for the psychological well-being of individuals,1512135.0,Seed,2020,Health
Wellcure,Gurugram,healthtech,It caters to all health and wellness needs,200000.0,Seed,2020,Health
VilCart,Bangalore,ecommerce,"Retail industry in rural India through technology, supply chain, and logistics facilities.",1512135.0,Seed,2020,Commerce
Firescore,Mumbai,gaming,Game development studio,500000.0,Seed,2020,Sports
BulBul,Gurgaon,social commerce,A video and livestream led commerce platform that makes online shopping engaging,1512135.0,Seed,2020,Commerce
Toppr,Mumbai,edtech,It provides AI-based after school learning app for K12,46761000.0,Series D,2020,Education
Pickright Technologies,Bangalore,fintech,Marketplace for stock market investors and advisors,175000.0,Seed,2020,Finance
Muse Wearables,Chennai,tech,It sells the world’s first payment-enabled hybrid smartwatches,3000000.0,Seed,2020,Technology
SATYA Microcapital,Delhi,fintech,Microfinance company that offers collateral-free credit to micro enterprises,1512135.0,Seed,2020,Finance
WYN Studio,Gurugram,media,It creates video content and podcasts,1512135.0,Seed,2020,Media and Entertainment
Fourth Partner Energy,Bangalore,solar solution,Largest startup in the distributed solar sector,15000000.0,Seed,2020,Technology
Entri,Kochi,edtech,Local language learning startup,1700000.0,Seed,2020,Education
Snack Amor,Mumbai,foodtech,Healthy snack startup,1512135.0,Seed,2020,Food & Beverages
MPowered,Gurugram,saas,Asset Management Solutions,21000000.0,Seed,2020,Technology
Leap Club,Gurugram,social e-commerce,Community led professional network for women,1512135.0,Seed,2020,Commerce
Ather Energy,Bangalore,automobile,Electric scooter manufacturer,11241000.0,Series C,2020,Manufacturing
Gigforce,Bangalore,hr tech,Provides staffing solutions for businesses,804000.0,Seed,2020,Technology
Vegrow,Bangalore,agritech,It is building an asset-light farm by partnering with small farms on a profit-sharing model,2500000.0,Seed,2020,Technology
Finn,Bangalore,fintech,Neobanking startup that digitises all banking transactions,1512135.0,Seed,2020,Finance
Bijnis,Not Specified,b2b marketplace,Provides a platform for manufacturers and retailers in digital transaction,10000000.0,Series A,2020,Commerce
iNurture,Bangalore,edtech,"It provides a conducive and healthy teaching, learning environment",1340000.0,Seed,2020,Education
StyleDotMe,Gurugram,fashion tech,"mirrAR, helps jewellers sell jewellery with no physical inventory",467000.0,Seed,2020,Beauty & Fashion
Ripsey,Mumbai,nutrition tech,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,133000.0,Seed,2020,Food & Beverages
ThriveFNC,Pune,health & wellness,Focusses on reversing chronic lifestyle disorders through functional nutrition.,1512135.0,Seed,2020,Health
Vedantu,Bangalore,edtech,Onine learning platform,100000000.0,Series D,2020,Education
Magicpin,Gurugram,fintech,"It is a local discovery, rewards, and commerce platform",7000000.0,Series D,2020,Finance
Procol,Delhi,agritech,Commodity procurement platform,3823000.0,Seed,2020,Technology
Yumlane,Mumbai,cloud kitchen,Online retailer that offers a range of on-the-go hot snacking and meals,1000000.0,Seed,2020,Technology
Crio,Bangalore,edtech,A learning platform for developers,934000.0,Seed,2020,Education
Openapp,Bangalore,iot,Security solutions startup,500000.0,Seed,2020,Technology
PumPumPum,Gurugram,iot/automobile,Offers leased car services,293000.0,Seed,2020,Technology
uFony Services Pvt ltd,Pune,edtech,"School Diary, a platform that brings education to smartphones",1512135.0,Seed,2020,Education
Protinus Fashion Networking Pvt Ltd,Mumbai,fashion,Owns and operates fashion commerce and retail management platform 6Degree,1512135.0,Seed,2020,Beauty & Fashion
Uable,Bangalore,edtech,Online life skills development platform for children,1512135.0,Seed,2020,Education
ParkSmart,Delhi,iot,Parking spot reservation platform,198000.0,Seed,2020,Technology
Plum,Bangalore,healthtech,Provides health benefits to corporates,927000.0,Seed,2020,Health
IncNut Digital,Hyderabad,ecommerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,4000000.0,Series A,2020,Commerce
GigIndia,Pune,tech,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,971000.0,Seed,2020,Technology
Specsmaker,Chennai,eye wear,Online optical chain for eye wears,3060000.0,Seed,2020,Beauty & Fashion
Piggy Ride,Bangalore,saas,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",1862000.0,Seed,2020,Technology
Chai Waale,Chennai,beverage,Tea Brand,232000.0,Seed,2020,Food & Beverages
NOTO,Mumbai,food,A brand that makes healthy icecream,1512135.0,Seed,2020,Food & Beverages
Cuemath,Bangalore,edtech,It helps students to learn math online,2888000.0,Series B,2020,Education
Cars24,Gurgaon,automobile,Online platform for selling used cars,1328000.0,Seed,2020,Manufacturing
JetSynthesys,Pune,digital tech,Digital entertainment and technology company,40000000.0,Seed,2020,Technology
Earth Energy EV,Mumbai,automobile,Electric vehicles startup,1512135.0,Seed,2020,Manufacturing
Green Cure,Delhi,health & wellness,It sells herbal OTC products,1512135.0,Seed,2020,Health
Blue Sky Analytics,Gurugram,data intelligence,"It is building AI-powered infrastructure to analyse air quality, pollution etc",1200000.0,Seed,2020,Business Intelligence
Edhusk,Jaipur,edtech,Provieds personalised learning to students by leveraging technology-driven models,1512135.0,Seed,2020,Education
Decentro,Bangalore,fintech,Automated API-based platform that enables financial integrations.,15500000.0,Series A,2020,Finance
Zolostays,Bangalore,co-living,It offers affordable housing apartments to young professionals and students,56000000.0,Series C,2020,Real Estate
Frontier Markets,Jaipur,ecommerce,Women entreprenuers sells products and services to rural India,2250000.0,Seed,2020,Commerce
Brainwired,Kerala,agritech,India’s first livestock health monitoring company,1512135.0,Seed,2020,Technology
Aye Finance,Gurugram,fintech,A finance lender to SMEs,16753000.0,Series E,2020,Finance
Paper Boat,Gurugram,food & beverages,Ecommerce platform for beverages and snacks,3700000.0,Seed,2020,Food & Beverages
Ken42,Bangalore,edtech,A platform that caters to evolving needs of institutions,1470000.0,Seed,2020,Education
Forbidden Foods,Delhi,food,Packaged snacks company,1000000.0,Seed,2020,Food & Beverages
Universal Sportsbiz,Bangalore,fashion,Indian fashion industry with on-trend products,530000.0,Seed,2020,Beauty & Fashion
Gobbly,Gurugram,retail tech,A contactless retail store filled with fruits and veggies,500000.0,Seed,2020,Commerce
Aerostrovilos,Chennai,automotive,Manufactures micro gas turbines for power-based application,1512135.0,Seed,2020,Automobile
Mitron,Bangalore,media,Short Video and Social Platform,267000.0,Seed,2020,Media and Entertainment
Bulk MRO,Mumbai,b2b,A full stack B2B platform for industrial supplies,3344000.0,Seed,2020,Commerce
Inspektlabs,Delhi,ai,Focuses on building computer vision products for physical asset inspections,600000.0,Seed,2020,Technology
Big Bang Boom Solutions,Chennai,defense tech,It developed integrated intellectual properties for defense,1000000.0,Series A,2020,Government
Flinto,Chennai,edtech,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,7200000.0,Seed,2020,Education
Zetwerk,Bangalore,marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,21000000.0,Series C,2020,Commerce
ChitMonks,Hyderabad,fintech,Offers enterprise private platform for chit fund firms,650000.0,Seed,2020,Finance
Walrus,Bangalore,fintech,It provides banking solutions for teens and young adults,1512135.0,Seed,2020,Finance
Arth Designbuild,Hyderebad,construction tech,Construction technology and solutions provider,1100000.0,Seed,2020,Technology
goDutch,Mumbai,fintech,Group Payments platform,1700000.0,Seed,2020,Finance
Rusk Media,Delhi,digital media,It creates video content,1512135.0,Seed,2020,Media and Entertainment
Bold Care,Mumbai,health & wellness,Digital platform that offers sexologist consultations for  men,1512135.0,Seed,2020,Health
Samosa Party,Bangalore,food,Provides quality Indian Snacks,1512135.0,Seed,2020,Food & Beverages
High Street Essentials,New Delhi,ecommerce,The parent company of women's fashion brands FabAlley and Indya,2743000.0,Seed,2020,Commerce
Byju's,Bangalore,edtech,Provides online learning classes,1512135.0,Seed,2020,Education
Slice,Bangalore,fintech,A financial platform for youngsters,6082000.0,Seed,2020,Finance
Bombay Play,Bangalore,gaming,It designs and creates online multiplayer games,1500000.0,Seed,2020,Sports
Fullife,Mumbai,healthtech,It sells sports nutrition supplements through a brand called Fast&Up,6609000.0,Seed,2020,Health
Oziva,Not Specified,nutrition,Clean Label Active Nutrition Brand,5000000.0,Series A,2020,Health
Aye Finance,Gurugram,fintech,A finance lender to SMEs,27700000.0,Series E,2020,Finance
Aether Biomedical,Delhi,medtech,"Medical robotics startup, focussed on developing rehabilitation devices",1512135.0,Seed,2020,Media and Entertainment
91springboard,Delhi,coworking,It offers collaborative workspace with varied amenities,5940000.0,Seed,2020,Technology
Yulu,Not Specified,micro-mobiity,The electric and scooter rental startup,3964000.0,Seed,2020,Automobile
Milkbasket,Gurugram,logistics,Hyperlocal delivery service startup,5500000.0,Seed,2020,Automobile
MergerDomo,Noida,marketplace,Global online corporate deal sourcing and consulting marketplace,197000.0,Seed,2020,Commerce
GoMechanic,Delhi,auto-tech,Find automobile repair and maintenance service providers,1512135.0,Series B,2020,Technology
Milk Mantra,Odisha,food,Produces Dairy Products,10000000.0,Seed,2020,Food & Beverages
Myglamm,Mumbai,beauty,On-demand beauty services provider,4327000.0,Seed,2020,Beauty & Fashion
Drishti Technologies,Bangalore,ai,"AI-based video analytics, data, and insights bring benefits to manufacturers",25000000.0,Series B,2020,Technology
Instasolv,Noida,edtech,It is a doubt-solving app for students from Class 6 to 12,2000000.0,Seed,2020,Education
GoldenPi,Bangalore,fintech,An online aggregator of bonds and debentures available in the secondary market,459000.0,Seed,2020,Finance
Peppermint,Not Specified,robotics,Industrial robotics startup,1512135.0,Seed,2020,Education
Sarva,Mumbai,yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,1512135.0,Seed,2020,Lifestyle
Jai Kisan,Mumbai,fintech,A platform that caters the need of customers in rural areas,3937000.0,Seed,2020,Finance
Agro2o,New Delhi,agritech,It develops products focused on making hydroponics-based farming,1512135.0,Seed,2020,Technology
LetsTransport,Bangalore,logitech,Offers techno logistics solutions,1313500.0,Seed,2020,Technology
GabbarDeals,Pune,ecommerce,Online-to-Offline platforms for mobile phones & accessories,1512135.0,Seed,2020,Commerce
Crimson Healthcare,Delhi,med tech,It innovates cutting edge solutions for various problems in the healthcare system,229800.0,Seed,2020,Media and Entertainment
Biomoneta,Bangalore,life sciences,It develops germicidal technologies,1512135.0,Seed,2020,Education
Edvizo,Bangalore,edtech,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",150000.0,Seed,2020,Education
Servify,Mumbai,saas,Operates device management and support platform,11370000.0,Series C,2020,Technology
Drum Food,Mumbai,food,It runs yoghurt brand Epigamia,5305000.0,Seed,2020,Food & Beverages
Innoviti,Bangalore,saas,Digital payments solutions company,1512135.0,Series C,2020,Technology
Jiffy ai,Not Specified,ai,Enterprise automation startup,18000000.0,Series A,2020,Technology
Postman,Not Specified,tech,API development platform startup,150000000.0,Series C,2020,Technology
F5,Not Specified,retail aggregator,It provides opportunities for its partner vendors to upsell and cross-sell their products.,1512135.0,Seed,2020,Commerce
Waycool,Chennai,agritech,Food development and distribution services,5500000.0,Series C,2020,Technology
Myelin Foundry,Not Specified,deep tech ai,"It builds AI based algorithms on video, voice and sensor",1512135.0,Seed,2020,Technology
Ameliorate Biotech,Bangalore,biotech,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.",264000.0,Seed,2020,Technology
Hapramp,Gurugram,blockchain,Startup working on technologies like blockchain and social media,1000000.0,Seed,2020,Education
MyKaam,Bangalore,hrtech,Online job searching and recruiting platform,1512135.0,Seed,2020,Technology
HealthPlix,Bangalore,healthtech,It provides clinical software for doctors,6000000.0,Series B,2020,Health
YoloBus,Gurugram,mobility/transport,Intercity bus service startup,3300000.0,Series A,2020,Transport
iNurture Education,Not Specified,edtech,"It provides a conducive and healthy teaching, learning environment",4000000.0,Seed,2020,Education
Pocket52,Bangalore,gaming,An online poker playing platform,1750000.0,Series A,2020,Sports
QuaQua,Hyderabad,travel,Virtual travel guide platform,1000000.0,Seed,2020,Lifestyle
Crofarm,Delhi,agritech,Supply chain that supports farmers and provides businesses with freshest produce,1000000.0,Seed,2020,Technology
Timios,Bangalore,foodtech,Provides healthy snacks for kids,1512135.0,Seed,2020,Food & Beverages
Wooden Street,Jaipur,ecommerce,It enables to order custom furniture online,3000000.0,Series A,2020,Commerce
BankBazaar,Chennai,fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,5967000.0,Series D,2020,Finance
Rentmojo,Bangalore,rental,"Rental platform for furniture, appliances & electronics",2980000.0,Seed,2020,Real Estate
Credgencies,Not Specified,ai & debt,Tech-enabled platform for resolution of non-performing assets,1512135.0,Seed,2020,Technology
Knorish,Delhi,saas/edtech,All-in-one knowledge commerce SaaS platform,323000.0,Seed,2020,Technology
LetsTransport,Bangalore,logitech,Offers techno logistics solutions,1326000.0,Seed,2020,Technology
Vahak,Not Specified,transport,It enables logistic companies to conncet with transporters,1512135.0,Seed,2020,Automobile
Nutrova,Mumbai,nutrition,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",1512135.0,Seed,2020,Health
Cube Wealth,Mumbai,saas,A digital wealth management services,500000.0,Mid Series,2020,Technology
IVF Access,Bangalore,healthtech,It provdes IVF treatments,5000000.0,Series A,2020,Health
Hoi Foods,Delhi,foodtech,Quality food solution,2000000.0,Seed,2020,Food & Beverages
Ola Financial Services,Bangalore,fintech,It operates Ola Money,27000000.0,Series A,2020,Finance
Awifs,Delhi,co-working,Provides office space solutions,5200000.0,Seed,2020,Technology
Dunzo,Bangalore,logistics,India-based hyperlocal delivery startup,55000000.0,Seed,2020,Automobile
Swiflearn,Gurugram,edtech,Learning platform for K-10 students looking for personalised learning,1512135.0,Seed,2020,Education
Remedo,Delhi,healthtech,The platform connects doctors with patients,1512135.0,Seed,2020,Health
Blowhorn,Bangalore,logistics,Tech platform that connects logistics service seekers with mini-truck drivers,1512135.0,Seed,2020,Automobile
Toch,Mumbai,ai,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos",1000000.0,Seed,2020,Technology
Gram Cover,Noida,insurtech,It provides insurance products in rural areas,1512135.0,Seed,2020,Finance
Coin DCX,Mumbai,cryptocurrency,Hybrid crypto exchange platform,2500000.0,Seed,2020,Finance
HomeCapital,Mumbai,fintech,Home Down Payment Assistance Program,1512135.0,Seed,2020,Finance
