Company Brand,HeadQuarter,Sector,What it does,Amount($),Stage,Year Funded,Sector_New
Colive.in,Bangalore,business consumer,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,26298.0,Seed,2018,Commerce
Agricxlab Private Limited,Thane,b2b,Online marketplace where farmers and traders can sell their produce to B2B buyers,7305.0,Seed,2018,Commerce
Corefactors,Bangalore,fintech,"Corefactors is a leading campaign management, business communication and analytics company.",1512135.0,Seed,2018,Finance
Fincash.com,Mumbai,wealth management,A startup in the personal finance space in India .,2191.5,Seed,2018,Finance
Pandorum Technologies,Bengaluru,biotechnology,Bengaluru based biotech startup.,52596.0,Series A,2018,Technology
Shirsa Labs,Mumbai,education,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,7305.0,Seed,2018,Education
PetSutra,Gurgaon,veterinary,Gurugram-based Online petcare platform.,138795.0,Seed,2018,Health
Awaaz De,Ahmedabad,internet,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,1512135.0,Seed,2018,Technology
PinkBlue,Bangalore,health care,PinkBlue.in - Super-efficient supply-chain for clinical supplies,4383.0,Seed,2018,Health
Eduvanz,Mumbai,finance,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",7305.0,Seed,2018,Finance
Rupeek,Bangalore,financial services,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,99786.3,Series A,2018,Finance
Backpacker Panda Holidays Private Limited,Pune,tourism,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,20454.0,Series A,2018,Lifestyle
Shape (School Health and Physical Education),Pune,education,Physical education start up,2922.0,Seed,2018,Education
Placio,Noida,hospitality,Placio is a student housing and a complete broker-free platform.,29220.0,Seed,2018,Lifestyle
Aviom India Housing Finance,New Delhi,finance,Delhi based housing finance company.,2191500.0,Series A,2018,Finance
GenRobotic,Trivandrum,market research,A Robotic Company.,1512135.0,Seed,2018,Business Intelligence
HeyHolidays,Bangalore,tourism,"HeyHolidays, a global player in online vacation rentals.",14610.0,Seed,2018,Lifestyle
Pratilipi,Bengaluru,digital media,Amazon's Kindle Direct Publishing for Indian Languages,62823.0,Series A,2018,Media and Entertainment
SectorQube,Ernakulam,consumer electronics,SectorQube develops smart kitchen devices that make food automatically.,1512135.0,Seed,2018,Manufacturing
Food Memories,Ahmedabad,food and beverage,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,1512135.0,Seed,2018,Food & Beverages
ZAMROO,India,internet,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,1512135.0,Seed,2018,Technology
Silversparro Technologies Pvt. Ltd,Gurgaon,analytics,Silversparro is a deep learning technology solution provider.,4383.0,Seed,2018,Business Intelligence
Creator’s Gurukul,Gurgaon,facilities support services,A coworking space provider.,1512135.0,Seed,2018,Real Estate
Emflux Motors,Bengaluru,automotive,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,5330.40006,Seed,2018,Automobile
Tricog Health Services Pvt Ltd,Bangalore,health care,Predictive Healthcare Analytics Company,58440.0,Series A,2018,Health
Scapic,Bangalore,cloud computing,Virtual/Augmented Reality Start Up .,7305.0,Seed,2018,Technology
6Degree,Mumbai,fashion,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,5844.0,Seed,2018,Beauty & Fashion
Chrysalis (EZ Vidya),Chennai,education,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,1512135.0,Seed,2018,Education
Ekincare,Hyderabad,medical,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,21915.0,Series A,2018,Health
Streo,Gurgaon,music streaming,"Live stream music from nightclubs, bars & festivals!",1512135.0,Seed,2018,Media and Entertainment
Groww,Kormangala,finance,Groww offers a new way of investing money.,1753.2,Seed,2018,Finance
Cell Propulsion,Bangalore,fintech,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,102270.0,Seed,2018,Finance
Chezuba,Hyderabad,internet,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,20454.0,Seed,2018,Technology
Ontrack Technologies Pvt. Ltd,Bangalore,retail,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,1512135.0,Seed,2018,Commerce
Wealthtrust,Mumbai,finance,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,7305.0,Seed,2018,Finance
Faclon Labs,Mumbai,cloud computing,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,1512135.0,Seed,2018,Technology
Awign Enterprises,Bangalore,business development,Operations and manpower outsourcing startup,730500.0,Seed,2018,Commerce
CollPoll,Bangalore,education,World-class Enterprise System for Education.,1512135.0,Seed,2018,Education
Zyla Health,New Delhi,health care,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,1512135.0,Seed,2018,Health
Hubhopper,Delhi,internet,Get your daily dose of interest as summaries from news and magazine stories .,7305.0,Series A,2018,Technology
Rubix108 Technologies,Pune,information technology,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,14610.0,Seed,2018,Technology
Workflexi,Bangalore,human resources,"Be Smart, Work on Contract,Be Smart, Hire on Contract",146100.0,Seed,2018,Government
Streak,Bangalore,financial services,Algorithmic trading platform.,328725.0,Seed,2018,Finance
Kuants,Gurgaon,financial services,Algorithmic trading platform.,73050.0,Seed,2018,Finance
NiYO Solutions,Bangalore,finance,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,192852.0,Series A,2018,Finance
Hippo Video,Chennai,customer service,A video recording and sharing software.,1512135.0,Seed,2018,Commerce
Satvacart,Gurgaon,e-commerce,Satvacart is a Gurgaon’s largest online supermarket,1512135.0,Seed,2018,Commerce
Daaki,Bangalore,health care,Sports Nutrition startup,1512135.0,Seed,2018,Health
Simulanis,New Delhi,training,A Delhi-based Augmented Reality and Virtual Reality technology development company.,7305.0,Seed,2018,Lifestyle
MY CHIRAAG CAB,Jaipur,travel,MY CHIRAAG CAB SERVICES PVT LTD,14610.0,Seed,2018,Lifestyle
